latency: 0, min: 0, max: 0, avg: 0.00 (1 samples)
latency: 1, min: 0, max: 1, avg: 0.50 (2 samples)
latency: 5, min: 0, max: 5, avg: 2.00 (3 samples)
latency: 4, min: 0, max: 5, avg: 2.50 (4 samples)
latency: 9, min: 0, max: 9, avg: 3.80 (5 samples)
latency: 7, min: 0, max: 9, avg: 4.33 (6 samples)
latency: 254, min: 0, max: 254, avg: 40.00 (7 samples)
latency: 103, min: 0, max: 254, avg: 47.88 (8 samples)
latency: 87, min: 0, max: 254, avg: 52.22 (9 samples)
latency: 116, min: 0, max: 254, avg: 58.60 (10 samples)
latency: 80, min: 0, max: 254, avg: 60.55 (11 samples)
latency: 96, min: 0, max: 254, avg: 63.50 (12 samples)
latency: 93, min: 0, max: 254, avg: 65.77 (13 samples)
latency: 128, min: 0, max: 254, avg: 70.21 (14 samples)
 -- 1.12 seconds range
latency: 43, min: 43, max: 43, avg: 43.00 (1 samples)
latency: 73, min: 43, max: 73, avg: 58.00 (2 samples)
latency: 126, min: 43, max: 126, avg: 80.67 (3 samples)
latency: 42, min: 42, max: 126, avg: 71.00 (4 samples)
latency: 64, min: 42, max: 126, avg: 69.60 (5 samples)
latency: 95, min: 42, max: 126, avg: 73.83 (6 samples)
latency: 106, min: 42, max: 126, avg: 78.43 (7 samples)
latency: 57, min: 42, max: 126, avg: 75.75 (8 samples)
latency: 61, min: 42, max: 126, avg: 74.11 (9 samples)
latency: 101, min: 42, max: 126, avg: 76.80 (10 samples)
latency: 55, min: 42, max: 126, avg: 74.82 (11 samples)
latency: 58, min: 42, max: 126, avg: 73.42 (12 samples)
 -- 1.00 seconds range
latency: 97, min: 97, max: 97, avg: 97.00 (1 samples)
latency: 53, min: 53, max: 97, avg: 75.00 (2 samples)
latency: 56, min: 53, max: 97, avg: 68.67 (3 samples)
latency: 98, min: 53, max: 98, avg: 76.00 (4 samples)
latency: 51, min: 51, max: 98, avg: 71.00 (5 samples)
latency: 52, min: 51, max: 98, avg: 67.83 (6 samples)
latency: 69, min: 51, max: 98, avg: 68.00 (7 samples)
latency: 97, min: 51, max: 98, avg: 71.62 (8 samples)
latency: 41, min: 41, max: 98, avg: 68.22 (9 samples)
latency: 50, min: 41, max: 98, avg: 66.40 (10 samples)
latency: 91, min: 41, max: 98, avg: 68.64 (11 samples)
latency: 40, min: 40, max: 98, avg: 66.25 (12 samples)
latency: 47, min: 40, max: 98, avg: 64.77 (13 samples)
latency: 88, min: 40, max: 98, avg: 66.43 (14 samples)
 -- 1.07 seconds range
latency: 37, min: 37, max: 37, avg: 37.00 (1 samples)
latency: 46, min: 37, max: 46, avg: 41.50 (2 samples)
latency: 86, min: 37, max: 86, avg: 56.33 (3 samples)
latency: 36, min: 36, max: 86, avg: 51.25 (4 samples)
latency: 43, min: 36, max: 86, avg: 49.60 (5 samples)
latency: 87, min: 36, max: 87, avg: 55.83 (6 samples)
latency: 38, min: 36, max: 87, avg: 53.29 (7 samples)
latency: 44, min: 36, max: 87, avg: 52.12 (8 samples)
latency: 80, min: 36, max: 87, avg: 55.22 (9 samples)
latency: 33, min: 33, max: 87, avg: 53.00 (10 samples)
latency: 41, min: 33, max: 87, avg: 51.91 (11 samples)
latency: 76, min: 33, max: 87, avg: 53.92 (12 samples)
latency: 32, min: 32, max: 87, avg: 52.23 (13 samples)
latency: 40, min: 32, max: 87, avg: 51.36 (14 samples)
latency: 72, min: 32, max: 87, avg: 52.73 (15 samples)
latency: 31, min: 31, max: 87, avg: 51.38 (16 samples)
latency: 38, min: 31, max: 87, avg: 50.59 (17 samples)
 -- 1.03 seconds range
latency: 71, min: 71, max: 71, avg: 71.00 (1 samples)
latency: 29, min: 29, max: 71, avg: 50.00 (2 samples)
latency: 53, min: 29, max: 71, avg: 51.00 (3 samples)
latency: 67, min: 29, max: 71, avg: 55.00 (4 samples)
latency: 62, min: 29, max: 71, avg: 56.40 (5 samples)
latency: 77, min: 29, max: 77, avg: 59.83 (6 samples)
latency: 63, min: 29, max: 77, avg: 60.29 (7 samples)
latency: 43, min: 29, max: 77, avg: 58.12 (8 samples)
latency: 49, min: 29, max: 77, avg: 57.11 (9 samples)
latency: 42, min: 29, max: 77, avg: 55.60 (10 samples)
latency: 61, min: 29, max: 77, avg: 56.09 (11 samples)
latency: 56, min: 29, max: 77, avg: 56.08 (12 samples)
latency: 68, min: 29, max: 77, avg: 57.00 (13 samples)
latency: 53, min: 29, max: 77, avg: 56.71 (14 samples)
latency: 64, min: 29, max: 77, avg: 57.20 (15 samples)
 -- 1.01 seconds range
latency: 51, min: 51, max: 51, avg: 51.00 (1 samples)
latency: 38, min: 38, max: 51, avg: 44.50 (2 samples)
latency: 25, min: 25, max: 51, avg: 38.00 (3 samples)
latency: 13, min: 13, max: 51, avg: 31.75 (4 samples)
latency: 14, min: 13, max: 51, avg: 28.20 (5 samples)
latency: 9, min: 9, max: 51, avg: 25.00 (6 samples)
latency: 9, min: 9, max: 51, avg: 22.71 (7 samples)
latency: 7, min: 7, max: 51, avg: 20.75 (8 samples)
latency: 9, min: 7, max: 51, avg: 19.44 (9 samples)
latency: 7, min: 7, max: 51, avg: 18.20 (10 samples)
latency: 9, min: 7, max: 51, avg: 17.36 (11 samples)
latency: 6, min: 6, max: 51, avg: 16.42 (12 samples)
latency: 10, min: 6, max: 51, avg: 15.92 (13 samples)
latency: 6, min: 6, max: 51, avg: 15.21 (14 samples)
latency: 9, min: 6, max: 51, avg: 14.80 (15 samples)
latency: 7, min: 6, max: 51, avg: 14.31 (16 samples)
latency: 9, min: 6, max: 51, avg: 14.00 (17 samples)
latency: 6, min: 6, max: 51, avg: 13.56 (18 samples)
latency: 9, min: 6, max: 51, avg: 13.32 (19 samples)
latency: 6, min: 6, max: 51, avg: 12.95 (20 samples)
latency: 9, min: 6, max: 51, avg: 12.76 (21 samples)
latency: 7, min: 6, max: 51, avg: 12.50 (22 samples)
latency: 8, min: 6, max: 51, avg: 12.30 (23 samples)
latency: 13, min: 6, max: 51, avg: 12.33 (24 samples)
latency: 12, min: 6, max: 51, avg: 12.32 (25 samples)
latency: 11, min: 6, max: 51, avg: 12.27 (26 samples)
latency: 11, min: 6, max: 51, avg: 12.22 (27 samples)
latency: 9, min: 6, max: 51, avg: 12.11 (28 samples)
latency: 11, min: 6, max: 51, avg: 12.07 (29 samples)
latency: 8, min: 6, max: 51, avg: 11.93 (30 samples)
latency: 10, min: 6, max: 51, avg: 11.87 (31 samples)
latency: 9, min: 6, max: 51, avg: 11.78 (32 samples)
latency: 10, min: 6, max: 51, avg: 11.73 (33 samples)
latency: 15, min: 6, max: 51, avg: 11.82 (34 samples)
latency: 14, min: 6, max: 51, avg: 11.89 (35 samples)
latency: 12, min: 6, max: 51, avg: 11.89 (36 samples)
latency: 15, min: 6, max: 51, avg: 11.97 (37 samples)
latency: 14, min: 6, max: 51, avg: 12.03 (38 samples)
latency: 14, min: 6, max: 51, avg: 12.08 (39 samples)
latency: 12, min: 6, max: 51, avg: 12.07 (40 samples)
latency: 15, min: 6, max: 51, avg: 12.15 (41 samples)
latency: 13, min: 6, max: 51, avg: 12.17 (42 samples)
latency: 14, min: 6, max: 51, avg: 12.21 (43 samples)
latency: 13, min: 6, max: 51, avg: 12.23 (44 samples)
latency: 14, min: 6, max: 51, avg: 12.27 (45 samples)
 -- 1.01 seconds range
latency: 13, min: 13, max: 13, avg: 13.00 (1 samples)
latency: 14, min: 13, max: 14, avg: 13.50 (2 samples)
latency: 12, min: 12, max: 14, avg: 13.00 (3 samples)
latency: 14, min: 12, max: 14, avg: 13.25 (4 samples)
latency: 13, min: 12, max: 14, avg: 13.20 (5 samples)
latency: 13, min: 12, max: 14, avg: 13.17 (6 samples)
latency: 13, min: 12, max: 14, avg: 13.14 (7 samples)
latency: 14, min: 12, max: 14, avg: 13.25 (8 samples)
latency: 13, min: 12, max: 14, avg: 13.22 (9 samples)
latency: 13, min: 12, max: 14, avg: 13.20 (10 samples)
latency: 12, min: 12, max: 14, avg: 13.09 (11 samples)
latency: 15, min: 12, max: 15, avg: 13.25 (12 samples)
latency: 12, min: 12, max: 15, avg: 13.15 (13 samples)
latency: 14, min: 12, max: 15, avg: 13.21 (14 samples)
latency: 12, min: 12, max: 15, avg: 13.13 (15 samples)
latency: 14, min: 12, max: 15, avg: 13.19 (16 samples)
latency: 13, min: 12, max: 15, avg: 13.18 (17 samples)
latency: 13, min: 12, max: 15, avg: 13.17 (18 samples)
latency: 12, min: 12, max: 15, avg: 13.11 (19 samples)
latency: 14, min: 12, max: 15, avg: 13.15 (20 samples)
latency: 13, min: 12, max: 15, avg: 13.14 (21 samples)
latency: 13, min: 12, max: 15, avg: 13.14 (22 samples)
latency: 12, min: 12, max: 15, avg: 13.09 (23 samples)
latency: 14, min: 12, max: 15, avg: 13.12 (24 samples)
latency: 13, min: 12, max: 15, avg: 13.12 (25 samples)
latency: 13, min: 12, max: 15, avg: 13.12 (26 samples)
latency: 11, min: 11, max: 15, avg: 13.04 (27 samples)
latency: 13, min: 11, max: 15, avg: 13.04 (28 samples)
latency: 12, min: 11, max: 15, avg: 13.00 (29 samples)
latency: 13, min: 11, max: 15, avg: 13.00 (30 samples)
latency: 12, min: 11, max: 15, avg: 12.97 (31 samples)
latency: 14, min: 11, max: 15, avg: 13.00 (32 samples)
latency: 13, min: 11, max: 15, avg: 13.00 (33 samples)
latency: 15, min: 11, max: 15, avg: 13.06 (34 samples)
latency: 13, min: 11, max: 15, avg: 13.06 (35 samples)
latency: 9, min: 9, max: 15, avg: 12.94 (36 samples)
latency: 14, min: 9, max: 15, avg: 12.97 (37 samples)
latency: 14, min: 9, max: 15, avg: 13.00 (38 samples)
latency: 14, min: 9, max: 15, avg: 13.03 (39 samples)
latency: 12, min: 9, max: 15, avg: 13.00 (40 samples)
latency: 14, min: 9, max: 15, avg: 13.02 (41 samples)
latency: 12, min: 9, max: 15, avg: 13.00 (42 samples)
latency: 13, min: 9, max: 15, avg: 13.00 (43 samples)
latency: 12, min: 9, max: 15, avg: 12.98 (44 samples)
 -- 1.01 seconds range
latency: 14, min: 14, max: 14, avg: 14.00 (1 samples)
latency: 11, min: 11, max: 14, avg: 12.50 (2 samples)
latency: 13, min: 11, max: 14, avg: 12.67 (3 samples)
latency: 12, min: 11, max: 14, avg: 12.50 (4 samples)
latency: 13, min: 11, max: 14, avg: 12.60 (5 samples)
latency: 11, min: 11, max: 14, avg: 12.33 (6 samples)
latency: 13, min: 11, max: 14, avg: 12.43 (7 samples)
