latency: 18, min: 18, max: 18, avg: 18.00 (1 samples)
latency: 18, min: 18, max: 18, avg: 18.00 (2 samples)
latency: 16, min: 16, max: 18, avg: 17.33 (3 samples)
latency: 15, min: 15, max: 18, avg: 16.75 (4 samples)
latency: 15, min: 15, max: 18, avg: 16.40 (5 samples)
latency: 15, min: 15, max: 18, avg: 16.17 (6 samples)
latency: 15, min: 15, max: 18, avg: 16.00 (7 samples)
latency: 15, min: 15, max: 18, avg: 15.88 (8 samples)
latency: 14, min: 14, max: 18, avg: 15.67 (9 samples)
latency: 15, min: 14, max: 18, avg: 15.60 (10 samples)
latency: 14, min: 14, max: 18, avg: 15.45 (11 samples)
latency: 14, min: 14, max: 18, avg: 15.33 (12 samples)
latency: 14, min: 14, max: 18, avg: 15.23 (13 samples)
latency: 15, min: 14, max: 18, avg: 15.21 (14 samples)
latency: 15, min: 14, max: 18, avg: 15.20 (15 samples)
latency: 15, min: 14, max: 18, avg: 15.19 (16 samples)
latency: 14, min: 14, max: 18, avg: 15.12 (17 samples)
latency: 15, min: 14, max: 18, avg: 15.11 (18 samples)
latency: 14, min: 14, max: 18, avg: 15.05 (19 samples)
latency: 15, min: 14, max: 18, avg: 15.05 (20 samples)
latency: 14, min: 14, max: 18, avg: 15.00 (21 samples)
latency: 15, min: 14, max: 18, avg: 15.00 (22 samples)
latency: 14, min: 14, max: 18, avg: 14.96 (23 samples)
latency: 15, min: 14, max: 18, avg: 14.96 (24 samples)
latency: 16, min: 14, max: 18, avg: 15.00 (25 samples)
latency: 16, min: 14, max: 18, avg: 15.04 (26 samples)
latency: 15, min: 14, max: 18, avg: 15.04 (27 samples)
latency: 15, min: 14, max: 18, avg: 15.04 (28 samples)
latency: 15, min: 14, max: 18, avg: 15.03 (29 samples)
latency: 14, min: 14, max: 18, avg: 15.00 (30 samples)
latency: 13, min: 13, max: 18, avg: 14.94 (31 samples)
latency: 13, min: 13, max: 18, avg: 14.88 (32 samples)
latency: 13, min: 13, max: 18, avg: 14.82 (33 samples)
latency: 14, min: 13, max: 18, avg: 14.79 (34 samples)
latency: 14, min: 13, max: 18, avg: 14.77 (35 samples)
latency: 14, min: 13, max: 18, avg: 14.75 (36 samples)
latency: 13, min: 13, max: 18, avg: 14.70 (37 samples)
latency: 14, min: 13, max: 18, avg: 14.68 (38 samples)
latency: 13, min: 13, max: 18, avg: 14.64 (39 samples)
latency: 13, min: 13, max: 18, avg: 14.60 (40 samples)
latency: 14, min: 13, max: 18, avg: 14.59 (41 samples)
 -- 1.00 seconds range
latency: 13, min: 13, max: 13, avg: 13.00 (1 samples)
latency: 13, min: 13, max: 13, avg: 13.00 (2 samples)
latency: 13, min: 13, max: 13, avg: 13.00 (3 samples)
latency: 13, min: 13, max: 13, avg: 13.00 (4 samples)
latency: 13, min: 13, max: 13, avg: 13.00 (5 samples)
latency: 13, min: 13, max: 13, avg: 13.00 (6 samples)
latency: 14, min: 13, max: 14, avg: 13.14 (7 samples)
latency: 13, min: 13, max: 14, avg: 13.12 (8 samples)
latency: 13, min: 13, max: 14, avg: 13.11 (9 samples)
latency: 14, min: 13, max: 14, avg: 13.20 (10 samples)
latency: 13, min: 13, max: 14, avg: 13.18 (11 samples)
latency: 13, min: 13, max: 14, avg: 13.17 (12 samples)
