latency: 2, min: 2, max: 2, avg: 2.00 (1 samples)
latency: 132, min: 2, max: 132, avg: 67.00 (2 samples)
latency: 133, min: 2, max: 133, avg: 89.00 (3 samples)
latency: 133, min: 2, max: 133, avg: 100.00 (4 samples)
latency: 132, min: 2, max: 133, avg: 106.40 (5 samples)
latency: 134, min: 2, max: 134, avg: 111.00 (6 samples)
latency: 134, min: 2, max: 134, avg: 114.29 (7 samples)
latency: 133, min: 2, max: 134, avg: 116.62 (8 samples)
 -- 1.00 seconds range
latency: 133, min: 133, max: 133, avg: 133.00 (1 samples)
latency: 190, min: 133, max: 190, avg: 161.50 (2 samples)
latency: 135, min: 133, max: 190, avg: 152.67 (3 samples)
latency: 134, min: 133, max: 190, avg: 148.00 (4 samples)
latency: 134, min: 133, max: 190, avg: 145.20 (5 samples)
latency: 135, min: 133, max: 190, avg: 143.50 (6 samples)
latency: 134, min: 133, max: 190, avg: 142.14 (7 samples)
 -- 1.07 seconds range
latency: 135, min: 135, max: 135, avg: 135.00 (1 samples)
latency: 174, min: 135, max: 174, avg: 154.50 (2 samples)
latency: 137, min: 135, max: 174, avg: 148.67 (3 samples)
latency: 134, min: 134, max: 174, avg: 145.00 (4 samples)
latency: 134, min: 134, max: 174, avg: 142.80 (5 samples)
latency: 134, min: 134, max: 174, avg: 141.33 (6 samples)
latency: 135, min: 134, max: 174, avg: 140.43 (7 samples)
 -- 1.05 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 172, min: 134, max: 172, avg: 147.00 (3 samples)
latency: 141, min: 134, max: 172, avg: 145.50 (4 samples)
latency: 134, min: 134, max: 172, avg: 143.20 (5 samples)
latency: 135, min: 134, max: 172, avg: 141.83 (6 samples)
latency: 134, min: 134, max: 172, avg: 140.71 (7 samples)
 -- 1.06 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 134, min: 134, max: 135, avg: 134.33 (3 samples)
latency: 163, min: 134, max: 163, avg: 141.50 (4 samples)
latency: 134, min: 134, max: 163, avg: 140.00 (5 samples)
latency: 134, min: 134, max: 163, avg: 139.00 (6 samples)
latency: 134, min: 134, max: 163, avg: 138.29 (7 samples)
 -- 1.04 seconds range
latency: 135, min: 135, max: 135, avg: 135.00 (1 samples)
latency: 133, min: 133, max: 135, avg: 134.00 (2 samples)
latency: 134, min: 133, max: 135, avg: 134.00 (3 samples)
latency: 157, min: 133, max: 157, avg: 139.75 (4 samples)
latency: 136, min: 133, max: 157, avg: 139.00 (5 samples)
latency: 134, min: 133, max: 157, avg: 138.17 (6 samples)
latency: 135, min: 133, max: 157, avg: 137.71 (7 samples)
 -- 1.03 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 134, min: 134, max: 135, avg: 134.33 (3 samples)
latency: 134, min: 134, max: 135, avg: 134.25 (4 samples)
latency: 158, min: 134, max: 158, avg: 139.00 (5 samples)
latency: 135, min: 134, max: 158, avg: 138.33 (6 samples)
latency: 134, min: 134, max: 158, avg: 137.71 (7 samples)
 -- 1.03 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 134, min: 134, max: 135, avg: 134.33 (3 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (4 samples)
latency: 135, min: 134, max: 135, avg: 134.60 (5 samples)
latency: 155, min: 134, max: 155, avg: 138.00 (6 samples)
latency: 135, min: 134, max: 155, avg: 137.57 (7 samples)
 -- 1.03 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 134, min: 134, max: 135, avg: 134.33 (3 samples)
latency: 134, min: 134, max: 135, avg: 134.25 (4 samples)
latency: 135, min: 134, max: 135, avg: 134.40 (5 samples)
latency: 158, min: 134, max: 158, avg: 138.33 (6 samples)
latency: 136, min: 134, max: 158, avg: 138.00 (7 samples)
 -- 1.04 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 134, min: 134, max: 135, avg: 134.33 (3 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (4 samples)
latency: 134, min: 134, max: 135, avg: 134.40 (5 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (6 samples)
latency: 158, min: 134, max: 158, avg: 137.86 (7 samples)
 -- 1.03 seconds range
latency: 135, min: 135, max: 135, avg: 135.00 (1 samples)
latency: 134, min: 134, max: 135, avg: 134.50 (2 samples)
latency: 135, min: 134, max: 135, avg: 134.67 (3 samples)
latency: 134, min: 134, max: 135, avg: 134.50 (4 samples)
latency: 134, min: 134, max: 135, avg: 134.40 (5 samples)
latency: 135, min: 134, max: 135, avg: 134.50 (6 samples)
latency: 160, min: 134, max: 160, avg: 138.14 (7 samples)
 -- 1.04 seconds range
latency: 160, min: 160, max: 160, avg: 160.00 (1 samples)
latency: 135, min: 135, max: 160, avg: 147.50 (2 samples)
latency: 134, min: 134, max: 160, avg: 143.00 (3 samples)
latency: 135, min: 134, max: 160, avg: 141.00 (4 samples)
latency: 134, min: 134, max: 160, avg: 139.60 (5 samples)
latency: 136, min: 134, max: 160, avg: 139.00 (6 samples)
