latency: 5737, min: 5737, max: 5737, avg: 5737.00 (1 samples)
 -- 5.74 seconds range
latency: 93, min: 93, max: 93, avg: 93.00 (1 samples)
latency: 91, min: 91, max: 93, avg: 92.00 (2 samples)
latency: 101, min: 91, max: 101, avg: 95.00 (3 samples)
latency: 73, min: 73, max: 101, avg: 89.50 (4 samples)
latency: 71, min: 71, max: 101, avg: 85.80 (5 samples)
latency: 88, min: 71, max: 101, avg: 86.17 (6 samples)
latency: 66, min: 66, max: 101, avg: 83.29 (7 samples)
latency: 67, min: 66, max: 101, avg: 81.25 (8 samples)
latency: 83, min: 66, max: 101, avg: 81.44 (9 samples)
latency: 63, min: 63, max: 101, avg: 79.60 (10 samples)
latency: 63, min: 63, max: 101, avg: 78.09 (11 samples)
latency: 81, min: 63, max: 101, avg: 78.33 (12 samples)
 -- 1.06 seconds range
latency: 60, min: 60, max: 60, avg: 60.00 (1 samples)
latency: 61, min: 60, max: 61, avg: 60.50 (2 samples)
latency: 80, min: 60, max: 80, avg: 67.00 (3 samples)
latency: 63, min: 60, max: 80, avg: 66.00 (4 samples)
latency: 59, min: 59, max: 80, avg: 64.60 (5 samples)
latency: 74, min: 59, max: 80, avg: 66.17 (6 samples)
latency: 55, min: 55, max: 80, avg: 64.57 (7 samples)
latency: 56, min: 55, max: 80, avg: 63.50 (8 samples)
latency: 71, min: 55, max: 80, avg: 64.33 (9 samples)
latency: 51, min: 51, max: 80, avg: 63.00 (10 samples)
latency: 54, min: 51, max: 80, avg: 62.18 (11 samples)
latency: 69, min: 51, max: 80, avg: 62.75 (12 samples)
latency: 65, min: 51, max: 80, avg: 62.92 (13 samples)
latency: 67, min: 51, max: 80, avg: 63.21 (14 samples)
 -- 1.03 seconds range
latency: 22, min: 22, max: 22, avg: 22.00 (1 samples)
latency: 9, min: 9, max: 22, avg: 15.50 (2 samples)
latency: 13, min: 9, max: 22, avg: 14.67 (3 samples)
latency: 9, min: 9, max: 22, avg: 13.25 (4 samples)
latency: 12, min: 9, max: 22, avg: 13.00 (5 samples)
latency: 9, min: 9, max: 22, avg: 12.33 (6 samples)
latency: 12, min: 9, max: 22, avg: 12.29 (7 samples)
latency: 9, min: 9, max: 22, avg: 11.88 (8 samples)
latency: 11, min: 9, max: 22, avg: 11.78 (9 samples)
latency: 10, min: 9, max: 22, avg: 11.60 (10 samples)
latency: 11, min: 9, max: 22, avg: 11.55 (11 samples)
latency: 10, min: 9, max: 22, avg: 11.42 (12 samples)
latency: 11, min: 9, max: 22, avg: 11.38 (13 samples)
latency: 9, min: 9, max: 22, avg: 11.21 (14 samples)
latency: 12, min: 9, max: 22, avg: 11.27 (15 samples)
latency: 10, min: 9, max: 22, avg: 11.19 (16 samples)
latency: 13, min: 9, max: 22, avg: 11.29 (17 samples)
latency: 11, min: 9, max: 22, avg: 11.28 (18 samples)
latency: 11, min: 9, max: 22, avg: 11.26 (19 samples)
latency: 11, min: 9, max: 22, avg: 11.25 (20 samples)
latency: 11, min: 9, max: 22, avg: 11.24 (21 samples)
latency: 10, min: 9, max: 22, avg: 11.18 (22 samples)
latency: 10, min: 9, max: 22, avg: 11.13 (23 samples)
latency: 10, min: 9, max: 22, avg: 11.08 (24 samples)
latency: 10, min: 9, max: 22, avg: 11.04 (25 samples)
latency: 9, min: 9, max: 22, avg: 10.96 (26 samples)
latency: 11, min: 9, max: 22, avg: 10.96 (27 samples)
latency: 9, min: 9, max: 22, avg: 10.89 (28 samples)
latency: 11, min: 9, max: 22, avg: 10.90 (29 samples)
latency: 9, min: 9, max: 22, avg: 10.83 (30 samples)
latency: 10, min: 9, max: 22, avg: 10.81 (31 samples)
latency: 10, min: 9, max: 22, avg: 10.78 (32 samples)
latency: 10, min: 9, max: 22, avg: 10.76 (33 samples)
latency: 9, min: 9, max: 22, avg: 10.71 (34 samples)
latency: 10, min: 9, max: 22, avg: 10.69 (35 samples)
latency: 9, min: 9, max: 22, avg: 10.64 (36 samples)
latency: 10, min: 9, max: 22, avg: 10.62 (37 samples)
latency: 9, min: 9, max: 22, avg: 10.58 (38 samples)
latency: 10, min: 9, max: 22, avg: 10.56 (39 samples)
latency: 10, min: 9, max: 22, avg: 10.55 (40 samples)
latency: 10, min: 9, max: 22, avg: 10.54 (41 samples)
latency: 10, min: 9, max: 22, avg: 10.52 (42 samples)
latency: 9, min: 9, max: 22, avg: 10.49 (43 samples)
latency: 10, min: 9, max: 22, avg: 10.48 (44 samples)
latency: 9, min: 9, max: 22, avg: 10.44 (45 samples)
latency: 9, min: 9, max: 22, avg: 10.41 (46 samples)
latency: 10, min: 9, max: 22, avg: 10.40 (47 samples)
latency: 8, min: 8, max: 22, avg: 10.35 (48 samples)
latency: 10, min: 8, max: 22, avg: 10.35 (49 samples)
 -- 1.00 seconds range
latency: 9, min: 9, max: 9, avg: 9.00 (1 samples)
latency: 10, min: 9, max: 10, avg: 9.50 (2 samples)
latency: 9, min: 9, max: 10, avg: 9.33 (3 samples)
latency: 10, min: 9, max: 10, avg: 9.50 (4 samples)
latency: 9, min: 9, max: 10, avg: 9.40 (5 samples)
latency: 10, min: 9, max: 10, avg: 9.50 (6 samples)
latency: 9, min: 9, max: 10, avg: 9.43 (7 samples)
latency: 9, min: 9, max: 10, avg: 9.38 (8 samples)
latency: 10, min: 9, max: 10, avg: 9.44 (9 samples)
latency: 9, min: 9, max: 10, avg: 9.40 (10 samples)
latency: 10, min: 9, max: 10, avg: 9.45 (11 samples)
latency: 9, min: 9, max: 10, avg: 9.42 (12 samples)
latency: 9, min: 9, max: 10, avg: 9.38 (13 samples)
latency: 9, min: 9, max: 10, avg: 9.36 (14 samples)
latency: 9, min: 9, max: 10, avg: 9.33 (15 samples)
latency: 9, min: 9, max: 10, avg: 9.31 (16 samples)
latency: 9, min: 9, max: 10, avg: 9.29 (17 samples)
latency: 9, min: 9, max: 10, avg: 9.28 (18 samples)
latency: 9, min: 9, max: 10, avg: 9.26 (19 samples)
latency: 9, min: 9, max: 10, avg: 9.25 (20 samples)
latency: 9, min: 9, max: 10, avg: 9.24 (21 samples)
latency: 9, min: 9, max: 10, avg: 9.23 (22 samples)
latency: 9, min: 9, max: 10, avg: 9.22 (23 samples)
latency: 9, min: 9, max: 10, avg: 9.21 (24 samples)
latency: 10, min: 9, max: 10, avg: 9.24 (25 samples)
latency: 10, min: 9, max: 10, avg: 9.27 (26 samples)
latency: 10, min: 9, max: 10, avg: 9.30 (27 samples)
latency: 10, min: 9, max: 10, avg: 9.32 (28 samples)
latency: 10, min: 9, max: 10, avg: 9.34 (29 samples)
latency: 10, min: 9, max: 10, avg: 9.37 (30 samples)
latency: 10, min: 9, max: 10, avg: 9.39 (31 samples)
latency: 10, min: 9, max: 10, avg: 9.41 (32 samples)
latency: 9, min: 9, max: 10, avg: 9.39 (33 samples)
latency: 9, min: 9, max: 10, avg: 9.38 (34 samples)
latency: 9, min: 9, max: 10, avg: 9.37 (35 samples)
