latency: 5409, min: 5409, max: 5409, avg: 5409.00 (1 samples)
 -- 5.41 seconds range
latency: 96, min: 96, max: 96, avg: 96.00 (1 samples)
latency: 95, min: 95, max: 96, avg: 95.50 (2 samples)
latency: 158, min: 95, max: 158, avg: 116.33 (3 samples)
latency: 100, min: 95, max: 158, avg: 112.25 (4 samples)
latency: 147, min: 95, max: 158, avg: 119.20 (5 samples)
latency: 90, min: 90, max: 158, avg: 114.33 (6 samples)
latency: 139, min: 90, max: 158, avg: 117.86 (7 samples)
latency: 87, min: 87, max: 158, avg: 114.00 (8 samples)
latency: 142, min: 87, max: 158, avg: 117.11 (9 samples)
 -- 1.14 seconds range
latency: 84, min: 84, max: 84, avg: 84.00 (1 samples)
latency: 130, min: 84, max: 130, avg: 107.00 (2 samples)
latency: 82, min: 82, max: 130, avg: 98.67 (3 samples)
latency: 64, min: 64, max: 130, avg: 90.00 (4 samples)
latency: 118, min: 64, max: 130, avg: 95.60 (5 samples)
latency: 76, min: 64, max: 130, avg: 92.33 (6 samples)
latency: 116, min: 64, max: 130, avg: 95.71 (7 samples)
latency: 75, min: 64, max: 130, avg: 93.12 (8 samples)
latency: 112, min: 64, max: 130, avg: 95.22 (9 samples)
latency: 73, min: 64, max: 130, avg: 93.00 (10 samples)
 -- 1.03 seconds range
latency: 76, min: 76, max: 76, avg: 76.00 (1 samples)
latency: 96, min: 76, max: 96, avg: 86.00 (2 samples)
latency: 25, min: 25, max: 96, avg: 65.67 (3 samples)
latency: 51, min: 25, max: 96, avg: 62.00 (4 samples)
latency: 89, min: 25, max: 96, avg: 67.40 (5 samples)
latency: 27, min: 25, max: 96, avg: 60.67 (6 samples)
latency: 47, min: 25, max: 96, avg: 58.71 (7 samples)
latency: 86, min: 25, max: 96, avg: 62.12 (8 samples)
latency: 24, min: 24, max: 96, avg: 57.89 (9 samples)
latency: 45, min: 24, max: 96, avg: 56.60 (10 samples)
latency: 83, min: 24, max: 96, avg: 59.00 (11 samples)
latency: 24, min: 24, max: 96, avg: 56.08 (12 samples)
latency: 43, min: 24, max: 96, avg: 55.08 (13 samples)
latency: 80, min: 24, max: 96, avg: 56.86 (14 samples)
