latency: 54, min: 54, max: 54, avg: 54.00 (1 samples)
latency: 132, min: 54, max: 132, avg: 93.00 (2 samples)
latency: 132, min: 54, max: 132, avg: 106.00 (3 samples)
latency: 132, min: 54, max: 132, avg: 112.50 (4 samples)
latency: 132, min: 54, max: 132, avg: 116.40 (5 samples)
latency: 133, min: 54, max: 133, avg: 119.17 (6 samples)
latency: 133, min: 54, max: 133, avg: 121.14 (7 samples)
latency: 132, min: 54, max: 133, avg: 122.50 (8 samples)
 -- 1.05 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 150, min: 134, max: 150, avg: 142.00 (2 samples)
latency: 134, min: 134, max: 150, avg: 139.33 (3 samples)
latency: 134, min: 134, max: 150, avg: 138.00 (4 samples)
latency: 134, min: 134, max: 150, avg: 137.20 (5 samples)
latency: 134, min: 134, max: 150, avg: 136.67 (6 samples)
latency: 134, min: 134, max: 150, avg: 136.29 (7 samples)
 -- 1.02 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 169, min: 134, max: 169, avg: 151.50 (2 samples)
latency: 152, min: 134, max: 169, avg: 151.67 (3 samples)
latency: 134, min: 134, max: 169, avg: 147.25 (4 samples)
latency: 133, min: 133, max: 169, avg: 144.40 (5 samples)
latency: 133, min: 133, max: 169, avg: 142.50 (6 samples)
latency: 133, min: 133, max: 169, avg: 141.14 (7 samples)
 -- 1.06 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
latency: 134, min: 134, max: 134, avg: 134.00 (2 samples)
latency: 170, min: 134, max: 170, avg: 146.00 (3 samples)
latency: 134, min: 134, max: 170, avg: 143.00 (4 samples)
latency: 134, min: 134, max: 170, avg: 141.20 (5 samples)
latency: 134, min: 134, max: 170, avg: 140.00 (6 samples)
latency: 133, min: 133, max: 170, avg: 139.00 (7 samples)
 -- 1.04 seconds range
latency: 133, min: 133, max: 133, avg: 133.00 (1 samples)
latency: 134, min: 133, max: 134, avg: 133.50 (2 samples)
latency: 134, min: 133, max: 134, avg: 133.67 (3 samples)
latency: 159, min: 133, max: 159, avg: 140.00 (4 samples)
latency: 134, min: 133, max: 159, avg: 138.80 (5 samples)
latency: 134, min: 133, max: 159, avg: 138.00 (6 samples)
latency: 133, min: 133, max: 159, avg: 137.29 (7 samples)
 -- 1.03 seconds range
latency: 134, min: 134, max: 134, avg: 134.00 (1 samples)
