latency: 0, min: 0, max: 0, avg: 0.00 (1 samples)
latency: 1, min: 0, max: 1, avg: 0.50 (2 samples)
latency: 7, min: 0, max: 7, avg: 2.67 (3 samples)
latency: 6, min: 0, max: 7, avg: 3.50 (4 samples)
latency: 6, min: 0, max: 7, avg: 4.00 (5 samples)
latency: 6, min: 0, max: 7, avg: 4.33 (6 samples)
latency: 1336, min: 0, max: 1336, avg: 194.57 (7 samples)
 -- 1.42 seconds range
latency: 611, min: 611, max: 611, avg: 611.00 (1 samples)
latency: 303, min: 303, max: 611, avg: 457.00 (2 samples)
latency: 45, min: 45, max: 611, avg: 319.67 (3 samples)
latency: 63, min: 45, max: 611, avg: 255.50 (4 samples)
 -- 1.06 seconds range
latency: 75, min: 75, max: 75, avg: 75.00 (1 samples)
latency: 35, min: 35, max: 75, avg: 55.00 (2 samples)
latency: 12, min: 12, max: 75, avg: 40.67 (3 samples)
latency: 8, min: 8, max: 75, avg: 32.50 (4 samples)
latency: 2, min: 2, max: 75, avg: 26.40 (5 samples)
latency: 4, min: 2, max: 75, avg: 22.67 (6 samples)
latency: 2, min: 2, max: 75, avg: 19.71 (7 samples)
latency: 9, min: 2, max: 75, avg: 18.38 (8 samples)
latency: 1, min: 1, max: 75, avg: 16.44 (9 samples)
latency: 9, min: 1, max: 75, avg: 15.70 (10 samples)
latency: 4, min: 1, max: 75, avg: 14.64 (11 samples)
latency: 7, min: 1, max: 75, avg: 14.00 (12 samples)
latency: 4, min: 1, max: 75, avg: 13.23 (13 samples)
latency: 7, min: 1, max: 75, avg: 12.79 (14 samples)
latency: 9, min: 1, max: 75, avg: 12.53 (15 samples)
latency: 4, min: 1, max: 75, avg: 12.00 (16 samples)
latency: 7, min: 1, max: 75, avg: 11.71 (17 samples)
latency: 10, min: 1, max: 75, avg: 11.61 (18 samples)
latency: 1, min: 1, max: 75, avg: 11.05 (19 samples)
latency: 9, min: 1, max: 75, avg: 10.95 (20 samples)
latency: 3, min: 1, max: 75, avg: 10.57 (21 samples)
latency: 7, min: 1, max: 75, avg: 10.41 (22 samples)
latency: 4, min: 1, max: 75, avg: 10.13 (23 samples)
latency: 7, min: 1, max: 75, avg: 10.00 (24 samples)
latency: 10, min: 1, max: 75, avg: 10.00 (25 samples)
latency: 4, min: 1, max: 75, avg: 9.77 (26 samples)
latency: 7, min: 1, max: 75, avg: 9.67 (27 samples)
latency: 3, min: 1, max: 75, avg: 9.43 (28 samples)
latency: 7, min: 1, max: 75, avg: 9.34 (29 samples)
latency: 10, min: 1, max: 75, avg: 9.37 (30 samples)
latency: 4, min: 1, max: 75, avg: 9.19 (31 samples)
latency: 7, min: 1, max: 75, avg: 9.12 (32 samples)
latency: 4, min: 1, max: 75, avg: 8.97 (33 samples)
latency: 7, min: 1, max: 75, avg: 8.91 (34 samples)
latency: 10, min: 1, max: 75, avg: 8.94 (35 samples)
latency: 4, min: 1, max: 75, avg: 8.81 (36 samples)
latency: 6, min: 1, max: 75, avg: 8.73 (37 samples)
latency: 10, min: 1, max: 75, avg: 8.76 (38 samples)
latency: 4, min: 1, max: 75, avg: 8.64 (39 samples)
latency: 7, min: 1, max: 75, avg: 8.60 (40 samples)
latency: 9, min: 1, max: 75, avg: 8.61 (41 samples)
latency: 3, min: 1, max: 75, avg: 8.48 (42 samples)
latency: 7, min: 1, max: 75, avg: 8.44 (43 samples)
latency: 10, min: 1, max: 75, avg: 8.48 (44 samples)
latency: 2, min: 1, max: 75, avg: 8.33 (45 samples)
latency: 1, min: 1, max: 75, avg: 8.17 (46 samples)
latency: 3, min: 1, max: 75, avg: 8.06 (47 samples)
latency: 4, min: 1, max: 75, avg: 7.98 (48 samples)
latency: 2, min: 1, max: 75, avg: 7.86 (49 samples)
latency: 4, min: 1, max: 75, avg: 7.78 (50 samples)
latency: 2, min: 1, max: 75, avg: 7.67 (51 samples)
latency: 4, min: 1, max: 75, avg: 7.60 (52 samples)
latency: 3, min: 1, max: 75, avg: 7.51 (53 samples)
latency: 4, min: 1, max: 75, avg: 7.44 (54 samples)
latency: 3, min: 1, max: 75, avg: 7.36 (55 samples)
latency: 4, min: 1, max: 75, avg: 7.30 (56 samples)
latency: 3, min: 1, max: 75, avg: 7.23 (57 samples)
latency: 4, min: 1, max: 75, avg: 7.17 (58 samples)
latency: 3, min: 1, max: 75, avg: 7.10 (59 samples)
 -- 1.01 seconds range
latency: 4, min: 4, max: 4, avg: 4.00 (1 samples)
latency: 3, min: 3, max: 4, avg: 3.50 (2 samples)
latency: 4, min: 3, max: 4, avg: 3.67 (3 samples)
latency: 2, min: 2, max: 4, avg: 3.25 (4 samples)
latency: 4, min: 2, max: 4, avg: 3.40 (5 samples)
latency: 2, min: 2, max: 4, avg: 3.17 (6 samples)
latency: 4, min: 2, max: 4, avg: 3.29 (7 samples)
latency: 2, min: 2, max: 4, avg: 3.12 (8 samples)
latency: 4, min: 2, max: 4, avg: 3.22 (9 samples)
latency: 2, min: 2, max: 4, avg: 3.10 (10 samples)
latency: 4, min: 2, max: 4, avg: 3.18 (11 samples)
latency: 3, min: 2, max: 4, avg: 3.17 (12 samples)
latency: 4, min: 2, max: 4, avg: 3.23 (13 samples)
latency: 3, min: 2, max: 4, avg: 3.21 (14 samples)
latency: 4, min: 2, max: 4, avg: 3.27 (15 samples)
latency: 3, min: 2, max: 4, avg: 3.25 (16 samples)
latency: 4, min: 2, max: 4, avg: 3.29 (17 samples)
latency: 3, min: 2, max: 4, avg: 3.28 (18 samples)
latency: 4, min: 2, max: 4, avg: 3.32 (19 samples)
latency: 3, min: 2, max: 4, avg: 3.30 (20 samples)
latency: 4, min: 2, max: 4, avg: 3.33 (21 samples)
latency: 2, min: 2, max: 4, avg: 3.27 (22 samples)
latency: 5, min: 2, max: 5, avg: 3.35 (23 samples)
latency: 2, min: 2, max: 5, avg: 3.29 (24 samples)
latency: 4, min: 2, max: 5, avg: 3.32 (25 samples)
latency: 2, min: 2, max: 5, avg: 3.27 (26 samples)
latency: 4, min: 2, max: 5, avg: 3.30 (27 samples)
latency: 3, min: 2, max: 5, avg: 3.29 (28 samples)
latency: 4, min: 2, max: 5, avg: 3.31 (29 samples)
latency: 3, min: 2, max: 5, avg: 3.30 (30 samples)
latency: 4, min: 2, max: 5, avg: 3.32 (31 samples)
latency: 3, min: 2, max: 5, avg: 3.31 (32 samples)
latency: 4, min: 2, max: 5, avg: 3.33 (33 samples)
latency: 3, min: 2, max: 5, avg: 3.32 (34 samples)
latency: 4, min: 2, max: 5, avg: 3.34 (35 samples)
latency: 2, min: 2, max: 5, avg: 3.31 (36 samples)
latency: 4, min: 2, max: 5, avg: 3.32 (37 samples)
latency: 2, min: 2, max: 5, avg: 3.29 (38 samples)
latency: 2, min: 2, max: 5, avg: 3.26 (39 samples)
latency: 4, min: 2, max: 5, avg: 3.27 (40 samples)
latency: 2, min: 2, max: 5, avg: 3.24 (41 samples)
latency: 4, min: 2, max: 5, avg: 3.26 (42 samples)
latency: 3, min: 2, max: 5, avg: 3.26 (43 samples)
latency: 4, min: 2, max: 5, avg: 3.27 (44 samples)
latency: 3, min: 2, max: 5, avg: 3.27 (45 samples)
latency: 4, min: 2, max: 5, avg: 3.28 (46 samples)
latency: 3, min: 2, max: 5, avg: 3.28 (47 samples)
latency: 4, min: 2, max: 5, avg: 3.29 (48 samples)
latency: 3, min: 2, max: 5, avg: 3.29 (49 samples)
latency: 4, min: 2, max: 5, avg: 3.30 (50 samples)
latency: 3, min: 2, max: 5, avg: 3.29 (51 samples)
latency: 4, min: 2, max: 5, avg: 3.31 (52 samples)
latency: 3, min: 2, max: 5, avg: 3.30 (53 samples)
latency: 4, min: 2, max: 5, avg: 3.31 (54 samples)
latency: 3, min: 2, max: 5, avg: 3.31 (55 samples)
latency: 4, min: 2, max: 5, avg: 3.32 (56 samples)
latency: 3, min: 2, max: 5, avg: 3.32 (57 samples)
latency: 4, min: 2, max: 5, avg: 3.33 (58 samples)
latency: 1, min: 1, max: 5, avg: 3.29 (59 samples)
latency: 3, min: 1, max: 5, avg: 3.28 (60 samples)
latency: 4, min: 1, max: 5, avg: 3.30 (61 samples)
latency: 3, min: 1, max: 5, avg: 3.29 (62 samples)
latency: 4, min: 1, max: 5, avg: 3.30 (63 samples)
latency: 3, min: 1, max: 5, avg: 3.30 (64 samples)
latency: 4, min: 1, max: 5, avg: 3.31 (65 samples)
latency: 3, min: 1, max: 5, avg: 3.30 (66 samples)
latency: 3, min: 1, max: 5, avg: 3.30 (67 samples)
latency: 2, min: 1, max: 5, avg: 3.28 (68 samples)
latency: 2, min: 1, max: 5, avg: 3.26 (69 samples)
latency: 5, min: 1, max: 5, avg: 3.29 (70 samples)
latency: 1, min: 1, max: 5, avg: 3.25 (71 samples)
latency: 3, min: 1, max: 5, avg: 3.25 (72 samples)
latency: 4, min: 1, max: 5, avg: 3.26 (73 samples)
latency: 1, min: 1, max: 5, avg: 3.23 (74 samples)
latency: 3, min: 1, max: 5, avg: 3.23 (75 samples)
latency: 4, min: 1, max: 5, avg: 3.24 (76 samples)
 -- 1.01 seconds range
latency: 3, min: 3, max: 3, avg: 3.00 (1 samples)
latency: 4, min: 3, max: 4, avg: 3.50 (2 samples)
latency: 2, min: 2, max: 4, avg: 3.00 (3 samples)
latency: 3, min: 2, max: 4, avg: 3.00 (4 samples)
latency: 4, min: 2, max: 4, avg: 3.20 (5 samples)
latency: 2, min: 2, max: 4, avg: 3.00 (6 samples)
latency: 3, min: 2, max: 4, avg: 3.00 (7 samples)
latency: 5, min: 2, max: 5, avg: 3.25 (8 samples)
latency: 1, min: 1, max: 5, avg: 3.00 (9 samples)
latency: 3, min: 1, max: 5, avg: 3.00 (10 samples)
latency: 4, min: 1, max: 5, avg: 3.09 (11 samples)
latency: 2, min: 1, max: 5, avg: 3.00 (12 samples)
