latency: 115, min: 115, max: 115, avg: 115.00 (1 samples)
latency: 69, min: 69, max: 115, avg: 92.00 (2 samples)
latency: 129, min: 69, max: 129, avg: 104.33 (3 samples)
latency: 54, min: 54, max: 129, avg: 91.75 (4 samples)
latency: 63, min: 54, max: 129, avg: 86.00 (5 samples)
latency: 121, min: 54, max: 129, avg: 91.83 (6 samples)
latency: 55, min: 54, max: 129, avg: 86.57 (7 samples)
latency: 63, min: 54, max: 129, avg: 83.62 (8 samples)
latency: 114, min: 54, max: 129, avg: 87.00 (9 samples)
latency: 49, min: 49, max: 129, avg: 83.20 (10 samples)
latency: 59, min: 49, max: 129, avg: 81.00 (11 samples)
latency: 110, min: 49, max: 129, avg: 83.42 (12 samples)
 -- 1.11 seconds range
latency: 48, min: 48, max: 48, avg: 48.00 (1 samples)
latency: 56, min: 48, max: 56, avg: 52.00 (2 samples)
latency: 106, min: 48, max: 106, avg: 70.00 (3 samples)
latency: 45, min: 45, max: 106, avg: 63.75 (4 samples)
latency: 54, min: 45, max: 106, avg: 61.80 (5 samples)
latency: 102, min: 45, max: 106, avg: 68.50 (6 samples)
latency: 43, min: 43, max: 106, avg: 64.86 (7 samples)
latency: 51, min: 43, max: 106, avg: 63.12 (8 samples)
latency: 104, min: 43, max: 106, avg: 67.67 (9 samples)
latency: 44, min: 43, max: 106, avg: 65.30 (10 samples)
latency: 51, min: 43, max: 106, avg: 64.00 (11 samples)
latency: 95, min: 43, max: 106, avg: 66.58 (12 samples)
latency: 40, min: 40, max: 106, avg: 64.54 (13 samples)
latency: 46, min: 40, max: 106, avg: 63.21 (14 samples)
 -- 1.03 seconds range
latency: 90, min: 90, max: 90, avg: 90.00 (1 samples)
latency: 83, min: 83, max: 90, avg: 86.50 (2 samples)
latency: 98, min: 83, max: 98, avg: 90.33 (3 samples)
latency: 80, min: 80, max: 98, avg: 87.75 (4 samples)
latency: 94, min: 80, max: 98, avg: 89.00 (5 samples)
latency: 78, min: 78, max: 98, avg: 87.17 (6 samples)
latency: 89, min: 78, max: 98, avg: 87.43 (7 samples)
latency: 75, min: 75, max: 98, avg: 85.88 (8 samples)
latency: 132, min: 75, max: 132, avg: 91.00 (9 samples)
latency: 72, min: 72, max: 132, avg: 89.10 (10 samples)
latency: 83, min: 72, max: 132, avg: 88.55 (11 samples)
 -- 1.09 seconds range
latency: 69, min: 69, max: 69, avg: 69.00 (1 samples)
latency: 82, min: 69, max: 82, avg: 75.50 (2 samples)
latency: 67, min: 67, max: 82, avg: 72.67 (3 samples)
latency: 80, min: 67, max: 82, avg: 74.50 (4 samples)
latency: 65, min: 65, max: 82, avg: 72.60 (5 samples)
latency: 78, min: 65, max: 82, avg: 73.50 (6 samples)
latency: 63, min: 63, max: 82, avg: 72.00 (7 samples)
latency: 73, min: 63, max: 82, avg: 72.12 (8 samples)
latency: 59, min: 59, max: 82, avg: 70.67 (9 samples)
latency: 70, min: 59, max: 82, avg: 70.60 (10 samples)
latency: 62, min: 59, max: 82, avg: 69.82 (11 samples)
latency: 74, min: 59, max: 82, avg: 70.17 (12 samples)
latency: 57, min: 57, max: 82, avg: 69.15 (13 samples)
 -- 1.03 seconds range
latency: 65, min: 65, max: 65, avg: 65.00 (1 samples)
latency: 54, min: 54, max: 65, avg: 59.50 (2 samples)
latency: 63, min: 54, max: 65, avg: 60.67 (3 samples)
latency: 51, min: 51, max: 65, avg: 58.25 (4 samples)
latency: 60, min: 51, max: 65, avg: 58.60 (5 samples)
latency: 49, min: 49, max: 65, avg: 57.00 (6 samples)
latency: 58, min: 49, max: 65, avg: 57.14 (7 samples)
latency: 48, min: 48, max: 65, avg: 56.00 (8 samples)
latency: 56, min: 48, max: 65, avg: 56.00 (9 samples)
latency: 45, min: 45, max: 65, avg: 54.90 (10 samples)
latency: 54, min: 45, max: 65, avg: 54.82 (11 samples)
latency: 45, min: 45, max: 65, avg: 54.00 (12 samples)
latency: 52, min: 45, max: 65, avg: 53.85 (13 samples)
latency: 43, min: 43, max: 65, avg: 53.07 (14 samples)
latency: 51, min: 43, max: 65, avg: 52.93 (15 samples)
latency: 44, min: 43, max: 65, avg: 52.38 (16 samples)
latency: 53, min: 43, max: 65, avg: 52.41 (17 samples)
 -- 1.06 seconds range
latency: 43, min: 43, max: 43, avg: 43.00 (1 samples)
latency: 27, min: 27, max: 43, avg: 35.00 (2 samples)
latency: 10, min: 10, max: 43, avg: 26.67 (3 samples)
latency: 14, min: 10, max: 43, avg: 23.50 (4 samples)
latency: 10, min: 10, max: 43, avg: 20.80 (5 samples)
latency: 14, min: 10, max: 43, avg: 19.67 (6 samples)
latency: 9, min: 9, max: 43, avg: 18.14 (7 samples)
latency: 14, min: 9, max: 43, avg: 17.62 (8 samples)
latency: 10, min: 9, max: 43, avg: 16.78 (9 samples)
latency: 14, min: 9, max: 43, avg: 16.50 (10 samples)
latency: 9, min: 9, max: 43, avg: 15.82 (11 samples)
latency: 14, min: 9, max: 43, avg: 15.67 (12 samples)
latency: 9, min: 9, max: 43, avg: 15.15 (13 samples)
latency: 13, min: 9, max: 43, avg: 15.00 (14 samples)
latency: 9, min: 9, max: 43, avg: 14.60 (15 samples)
latency: 14, min: 9, max: 43, avg: 14.56 (16 samples)
latency: 10, min: 9, max: 43, avg: 14.29 (17 samples)
latency: 13, min: 9, max: 43, avg: 14.22 (18 samples)
latency: 9, min: 9, max: 43, avg: 13.95 (19 samples)
latency: 13, min: 9, max: 43, avg: 13.90 (20 samples)
latency: 10, min: 9, max: 43, avg: 13.71 (21 samples)
latency: 13, min: 9, max: 43, avg: 13.68 (22 samples)
latency: 8, min: 8, max: 43, avg: 13.43 (23 samples)
latency: 13, min: 8, max: 43, avg: 13.42 (24 samples)
latency: 9, min: 8, max: 43, avg: 13.24 (25 samples)
latency: 12, min: 8, max: 43, avg: 13.19 (26 samples)
latency: 8, min: 8, max: 43, avg: 13.00 (27 samples)
latency: 13, min: 8, max: 43, avg: 13.00 (28 samples)
latency: 10, min: 8, max: 43, avg: 12.90 (29 samples)
latency: 13, min: 8, max: 43, avg: 12.90 (30 samples)
latency: 8, min: 8, max: 43, avg: 12.74 (31 samples)
latency: 14, min: 8, max: 43, avg: 12.78 (32 samples)
latency: 10, min: 8, max: 43, avg: 12.70 (33 samples)
latency: 12, min: 8, max: 43, avg: 12.68 (34 samples)
latency: 9, min: 8, max: 43, avg: 12.57 (35 samples)
latency: 12, min: 8, max: 43, avg: 12.56 (36 samples)
latency: 9, min: 8, max: 43, avg: 12.46 (37 samples)
latency: 12, min: 8, max: 43, avg: 12.45 (38 samples)
latency: 8, min: 8, max: 43, avg: 12.33 (39 samples)
latency: 13, min: 8, max: 43, avg: 12.35 (40 samples)
latency: 10, min: 8, max: 43, avg: 12.29 (41 samples)
latency: 12, min: 8, max: 43, avg: 12.29 (42 samples)
latency: 9, min: 8, max: 43, avg: 12.21 (43 samples)
latency: 12, min: 8, max: 43, avg: 12.20 (44 samples)
latency: 10, min: 8, max: 43, avg: 12.16 (45 samples)
 -- 1.00 seconds range
latency: 12, min: 12, max: 12, avg: 12.00 (1 samples)
latency: 9, min: 9, max: 12, avg: 10.50 (2 samples)
latency: 14, min: 9, max: 14, avg: 11.67 (3 samples)
latency: 11, min: 9, max: 14, avg: 11.50 (4 samples)
latency: 13, min: 9, max: 14, avg: 11.80 (5 samples)
latency: 9, min: 9, max: 14, avg: 11.33 (6 samples)
latency: 14, min: 9, max: 14, avg: 11.71 (7 samples)
latency: 10, min: 9, max: 14, avg: 11.50 (8 samples)
latency: 12, min: 9, max: 14, avg: 11.56 (9 samples)
