"INTERVAL","ELAPSED","TIMESTAMP","RSS","JAVA_USED","JAVA_UNUSED","TUPLE_COUNT","TUPLE_ALLOCATED_MEMORY","TUPLE_DATA_MEMORY","INDEX_MEMORY","STRING_MEMORY","POOLED_MEMORY","ANTICACHE_TUPLES_EVICTED","ANTICACHE_BLOCKS_EVICTED","ANTICACHE_BYTES_EVICTED","ANTICACHE_TUPLES_WRITTEN","ANTICACHE_BLOCKS_WRITTEN","ANTICACHE_BYTES_WRITTEN","ANTICACHE_TUPLES_READ","ANTICACHE_BLOCKS_READ","ANTICACHE_BYTES_READ"
"0","152","1486245962774","1544456","490171","213059","1197576","180224","154753","0","40112","0","0","0","0","0","0","0","0","0","0"
"2","332","1486245962952","1544456","490171","213059","1367912","192512","166923","0","40135","0","0","0","0","0","0","0","0","0","0"
"4","520","1486245963140","1558976","489248","214750","1372386","192512","167243","0","40135","0","0","0","0","0","0","0","0","0","0"
"6","723","1486245963342","1558976","489248","214750","1377597","196608","167613","0","40136","0","0","0","0","0","0","0","0","0","0"
"8","925","1486245963545","1558976","489248","214750","1381840","196608","167918","0","40137","0","0","0","0","0","0","0","0","0","0"
"10","1127","1486245963748","1558976","489248","214750","1385976","196608","168213","0","40137","0","0","0","0","0","0","0","0","0","0"
"12","1317","1486245963935","1558976","489248","214750","1391363","196608","168599","0","40138","0","0","0","0","0","0","0","0","0","0"
"14","1521","1486245964140","1558976","489248","214750","1396024","196608","168935","0","40139","0","0","0","0","0","0","0","0","0","0"
"16","1718","1486245964338","1558976","489248","214750","1400426","196608","169253","0","40140","0","0","0","0","0","0","0","0","0","0"
"18","1927","1486245964547","1558976","489248","214750","1404966","196608","169576","0","40140","0","0","0","0","0","0","0","0","0","0"
"20","2117","1486245964741","1558976","489248","214750","1409498","196608","169899","0","40141","0","0","0","0","0","0","0","0","0","0"
"22","2311","1486245964936","1558976","489248","214750","1413452","196608","170180","0","40141","0","0","0","0","0","0","0","0","0","0"
"24","2515","1486245965134","1580068","379244","325650","1418539","196608","170549","0","40142","0","0","0","0","0","0","0","0","0","0"
"26","2714","1486245965334","1580068","379244","325650","1422304","196608","170815","0","40143","0","0","0","0","0","0","0","0","0","0"
"28","2914","1486245965533","1580068","379244","325650","1427311","196608","171170","0","40143","0","0","0","0","0","0","0","0","0","0"
"30","3119","1486245965738","1580068","379244","325650","1433264","196608","171597","0","40144","0","0","0","0","0","0","0","0","0","0"
"32","3314","1486245965932","1580068","379244","325650","1439484","198656","172038","0","40145","0","0","0","0","0","0","0","0","0","0"
"34","3514","1486245966133","1580068","379244","325650","1445109","200704","172443","0","40145","0","0","0","0","0","0","0","0","0","0"
"36","3712","1486245966332","1580068","379244","325650","1451104","200704","172865","0","40146","0","0","0","0","0","0","0","0","0","0"
"38","3919","1486245966537","1580068","379244","325650","1457098","200704","173292","0","40147","0","0","0","0","0","0","0","0","0","0"
"40","4113","1486245966732","1580068","379244","325650","1463087","200704","173721","0","40147","0","0","0","0","0","0","0","0","0","0"
"42","4313","1486245966932","1580068","379244","325650","1468579","200704","174112","0","40148","0","0","0","0","0","0","0","0","0","0"
"44","4517","1486245967136","1580068","379244","325650","1474087","200704","174508","0","40149","0","0","0","0","0","0","0","0","0","0"
"46","4714","1486245967332","1580068","379244","325650","1479965","200704","174934","0","40149","0","0","0","0","0","0","0","0","0","0"
"48","4916","1486245967535","1580068","379244","325650","1485387","200704","175321","0","40151","0","0","0","0","0","0","0","0","0","0"
"50","5115","1486245967734","1580068","379244","325650","1491604","200704","175769","0","40151","0","0","0","0","0","0","0","0","0","0"
"52","5314","1486245967933","1580068","379244","325650","1497418","200704","176185","0","40152","0","0","0","0","0","0","0","0","0","0"
"54","5516","1486245968135","1575384","260971","444243","1503094","200704","176595","0","40153","0","0","0","0","0","0","0","0","0","0"
"56","5712","1486245968331","1575384","260971","444243","1509173","204800","177024","0","40153","0","0","0","0","0","0","0","0","0","0"
"58","5913","1486245968532","1575384","260971","444243","1515266","204800","177463","0","40153","0","0","0","0","0","0","0","0","0","0"
"60","6113","1486245968731","1575384","260971","444243","1520477","204800","177832","0","40155","0","0","0","0","0","0","0","0","0","0"
"62","6313","1486245968931","1575384","260971","444243","1526202","204800","178241","0","40155","0","0","0","0","0","0","0","0","0","0"
"64","6513","1486245969132","1575384","260971","444243","1532127","204800","178661","0","40155","0","0","0","0","0","0","0","0","0","0"
"66","6715","1486245969334","1575384","260971","444243","1537834","204800","179069","0","40157","0","0","0","0","0","0","0","0","0","0"
"68","6913","1486245969533","1575384","260971","444243","1543070","204800","179445","0","40157","0","0","0","0","0","0","0","0","0","0"
"70","7114","1486245969733","1575384","260971","444243","1548594","204800","179844","0","40157","0","0","0","0","0","0","0","0","0","0"
"72","7311","1486245969931","1575384","260971","444243","1555490","204800","180332","0","40159","0","0","0","0","0","0","0","0","0","0"
"74","7512","1486245970131","1581460","357349","347993","1561127","204800","180738","0","40159","0","0","0","0","0","0","0","0","0","0"
"76","7713","1486245970332","1581460","357349","347993","1567095","204800","181164","0","40161","0","0","0","0","0","0","0","0","0","0"
"78","7913","1486245970532","1581460","357349","347993","1573599","208896","181626","0","40161","0","0","0","0","0","0","0","0","0","0"
