"INTERVAL","ELAPSED","TIMESTAMP","TRANSACTIONS","THROUGHPUT","LATENCY","EVICTING"
"0","100","1486245962722","501","5010.0","1.388157894736842","0"
"1","200","1486245962819","336","3360.0","1.8917748917748918","0"
"2","300","1486245962920","422","4220.0","1.4817518248175183","0"
"3","400","1486245963018","466","4660.0","1.2706270627062706","0"
"4","500","1486245963120","504","5040.0","1.3300970873786409","0"
"5","600","1486245963220","398","3980.0","1.8396946564885497","0"
"6","700","1486245963319","446","4460.0","1.3249097472924187","0"
"7","800","1486245963420","314","3140.0","1.7276785714285714","0"
"8","900","1486245963520","415","4150.0","1.825657894736842","0"
"9","1000","1486245963618","422","4220.0","1.3333333333333333","0"
"10","1100","1486245963721","505","5050.0","1.3536977491961415","0"
"11","1200","1486245963821","373","3730.0","1.61328125","0"
"12","1300","1486245963918","489","4890.0","1.3003412969283277","0"
"13","1400","1486245964020","463","4630.0","1.342756183745583","0"
"14","1500","1486245964119","396","3960.0","1.3093220338983051","0"
"15","1600","1486245964219","347","3470.0","1.4063926940639269","0"
"16","1700","1486245964320","437","4370.0","1.3880597014925373","0"
"17","1800","1486245964418","401","4010.0","1.423913043478261","0"
"18","1900","1486245964520","408","4080.0","1.3035019455252919","0"
"19","2000","1486245964620","270","2700.0","1.6787564766839378","0"
"20","2100","1486245964724","456","4560.0","1.3973941368078175","0"
"21","2200","1486245964823","449","4490.0","1.2779783393501805","0"
"22","2300","1486245964925","442","4420.0","1.3391003460207613","0"
"23","2400","1486245965023","402","4019.9999999999995","1.605263157894737","0"
"24","2500","1486245965119","262","2620.0","2.037037037037037","0"
"25","2600","1486245965220","416","4160.0","1.4618320610687023","0"
"26","2700","1486245965320","473","4730.0","1.453416149068323","0"
"27","2800","1486245965420","464","4640.0","1.34","0"
"28","2900","1486245965519","545","5450.0","1.229607250755287","0"
"29","3000","1486245965619","537","5370.0","1.201219512195122","0"
"30","3100","1486245965719","523","5230.0","1.180064308681672","0"
"31","3200","1486245965818","445","4450.0","1.4","0"
"32","3300","1486245965918","557","5570.0","1.1836158192090396","0"
"33","3400","1486245966019","476","4760.0","1.4244372990353698","0"
"34","3500","1486245966119","562","5620.0","1.1577380952380953","0"
"35","3600","1486245966219","537","5370.0","1.297872340425532","0"
"36","3700","1486245966320","563","5630.0","1.2039106145251397","0"
"37","3800","1486245966420","525","5250.0","1.306896551724138","0"
"38","3900","1486245966518","570","5700.0","1.2124645892351276","0"
"39","4000","1486245966619","456","4560.0","1.2573529411764706","0"
"40","4100","1486245966719","498","4980.0","1.2061855670103092","0"
"41","4200","1486245966819","491","4910.0","1.1666666666666667","0"
"42","4300","1486245966919","482","4820.0","1.2779552715654952","0"
"43","4400","1486245967020","542","5420.0","1.2257142857142858","0"
"44","4500","1486245967119","514","5140.0","1.2100313479623825","0"
"45","4600","1486245967218","514","5140.0","1.2166666666666666","0"
"46","4700","1486245967318","527","5270.0","1.2826086956521738","0"
"47","4800","1486245967419","541","5410.0","1.2017543859649122","0"
"48","4900","1486245967519","574","5740.0","1.1543026706231454","0"
"49","5000","1486245967618","481","4810.0","1.2678571428571428","0"
"50","5100","1486245967719","537","5370.0","1.2664670658682635","0"
"51","5200","1486245967819","528","5280.0","1.2839506172839505","0"
"52","5300","1486245967919","473","4730.0","1.2307692307692308","0"
"53","5400","1486245968018","519","5190.0","1.3424242424242425","0"
"54","5500","1486245968119","481","4810.0","1.2677966101694915","0"
"55","5600","1486245968219","488","4880.0","1.3397435897435896","0"
"56","5700","1486245968319","573","5730.0","1.2247191011235956","0"
"57","5800","1486245968421","484","4840.0","1.3291139240506329","0"
"58","5900","1486245968519","458","4580.0","1.298932384341637","0"
"59","6000","1486245968618","502","5020.0","1.176271186440678","0"
"60","6100","1486245968718","509","5090.0","1.2984615384615386","0"
"61","6200","1486245968818","506","5060.0","1.293040293040293","0"
"62","6300","1486245968918","524","5240.0","1.1682539682539683","0"
"63","6400","1486245969020","514","5140.0","1.3198653198653199","0"
"64","6500","1486245969119","520","5200.0","1.1742160278745644","0"
"65","6600","1486245969219","481","4810.0","1.2259136212624584","0"
"66","6700","1486245969319","411","4110.0","1.592274678111588","0"
"67","6800","1486245969419","479","4790.0","1.4432624113475176","0"
"68","6900","1486245969520","466","4660.0","1.2779661016949153","0"
"69","7000","1486245969619","609","6090.0","1.228882833787466","0"
"70","7100","1486245969719","568","5680.0","1.182089552238806","0"
"71","7200","1486245969820","561","5610.0","1.161904761904762","0"
"72","7300","1486245969920","532","5320.0","1.221875","0"
"73","7400","1486245970019","510","5100.0","1.2517241379310344","0"
"74","7500","1486245970119","547","5470.0","1.160655737704918","0"
"75","7600","1486245970219","608","6080.0","1.2486187845303867","0"
"76","7700","1486245970319","568","5680.0","1.1761006289308176","0"
"77","7800","1486245970420","517","5170.0","1.180327868852459","0"
"78","7900","1486245970519","539","5390.0","1.2524271844660195","0"
"79","8000","1486245970619","562","5620.0","1.2006079027355623","0"
"80","8100","1486245970717","538","5380.0","1.1891891891891893","0"
"81","8200","1486245970820","492","4920.0","1.1850533807829182","0"
"82","8300","1486245970919","551","5510.0","1.2127659574468086","0"
"83","8400","1486245971019","500","5000.0","1.1891891891891893","0"
"84","8500","1486245971122","573","5730.0","1.1381381381381381","0"
"85","8600","1486245971220","543","5430.0","1.2420749279538905","0"
"86","8700","1486245971319","494","4940.0","1.180921052631579","0"
"87","8800","1486245971418","450","4500.0","1.3849206349206349","0"
"88","8900","1486245971519","490","4900.0","1.29","0"
"89","9000","1486245971618","463","4630.0","1.2333333333333334","0"
"90","9100","1486245971718","480","4800.0","1.2836363636363637","0"
"91","9200","1486245971818","462","4620.0","1.2649253731343284","0"
"92","9300","1486245971919","458","4580.0","1.138996138996139","0"
"93","9400","1486245972018","397","3970.0","1.5517241379310345","0"
"94","9500","1486245972117","525","5250.0","1.195046439628483","0"
"95","9600","1486245972218","473","4730.0","1.2410071942446044","0"
"96","9700","1486245972318","566","5660.0","1.1622418879056047","0"
"97","9800","1486245972418","547","5470.0","1.224755700325733","0"
"98","9900","1486245972518","561","5610.0","1.130030959752322","0"
"99","10000","1486245972619","545","5450.0","1.2787878787878788","0"
"100","10100","1486245972718","582","5820.0","1.1837349397590362","0"
"101","10200","1486245972817","488","4880.0","1.25","0"
"102","10300","1486245972918","564","5640.0","1.188118811881188","0"
"103","10400","1486245973018","507","5070.0","1.174496644295302","0"
"104","10500","1486245973118","602","6020.0","1.167192429022082","0"
"105","10600","1486245973218","587","5870.0","1.14","0"
"106","10700","1486245973318","550","5500.0","1.1464285714285714","0"
"107","10800","1486245973418","479","4790.0","1.368","0"
"108","10900","1486245973518","552","5520.0","1.120274914089347","0"
"109","11000","1486245973618","586","5860.0","1.1789137380191694","0"
"110","11100","1486245973718","577","5770.0","1.15","0"
"111","11200","1486245973818","513","5130.0","1.141304347826087","0"
"112","11300","1486245973918","542","5420.0","1.1993464052287581","0"
"113","11400","1486245974018","511","5110.0","1.2241379310344827","0"
"114","11500","1486245974119","641","6410.0","1.1823056300268096","0"
"115","11600","1486245974217","583","5830.0","1.1234939759036144","0"
"116","11700","1486245974319","640","6400.0","1.1703296703296704","0"
"117","11800","1486245974418","569","5690.0","1.146875","0"
"118","11900","1486245974518","534","5340.0","1.1700680272108843","0"
"119","12000","1486245974618","574","5740.0","1.161512027491409","0"
