latency: 4, min: 4, max: 4, avg: 4.00 (1 samples)
latency: 8, min: 4, max: 8, avg: 6.00 (2 samples)
latency: 6, min: 4, max: 8, avg: 6.00 (3 samples)
latency: 7, min: 4, max: 8, avg: 6.25 (4 samples)
latency: 8, min: 4, max: 8, avg: 6.60 (5 samples)
latency: 4, min: 4, max: 8, avg: 6.17 (6 samples)
latency: 4, min: 4, max: 8, avg: 5.86 (7 samples)
latency: 6, min: 4, max: 8, avg: 5.88 (8 samples)
latency: 8, min: 4, max: 8, avg: 6.11 (9 samples)
latency: 8, min: 4, max: 8, avg: 6.30 (10 samples)
latency: 9, min: 4, max: 9, avg: 6.55 (11 samples)
latency: 8, min: 4, max: 9, avg: 6.67 (12 samples)
latency: 7, min: 4, max: 9, avg: 6.69 (13 samples)
latency: 7, min: 4, max: 9, avg: 6.71 (14 samples)
latency: 7, min: 4, max: 9, avg: 6.73 (15 samples)
latency: 1, min: 1, max: 9, avg: 6.38 (16 samples)
latency: 2, min: 1, max: 9, avg: 6.12 (17 samples)
latency: 4, min: 1, max: 9, avg: 6.00 (18 samples)
latency: 2, min: 1, max: 9, avg: 5.79 (19 samples)
latency: 3, min: 1, max: 9, avg: 5.65 (20 samples)
latency: 4, min: 1, max: 9, avg: 5.57 (21 samples)
latency: 2, min: 1, max: 9, avg: 5.41 (22 samples)
latency: 3, min: 1, max: 9, avg: 5.30 (23 samples)
latency: 4, min: 1, max: 9, avg: 5.25 (24 samples)
latency: 2, min: 1, max: 9, avg: 5.12 (25 samples)
latency: 3, min: 1, max: 9, avg: 5.04 (26 samples)
latency: 4, min: 1, max: 9, avg: 5.00 (27 samples)
latency: 1, min: 1, max: 9, avg: 4.86 (28 samples)
latency: 2, min: 1, max: 9, avg: 4.76 (29 samples)
latency: 5, min: 1, max: 9, avg: 4.77 (30 samples)
latency: 2, min: 1, max: 9, avg: 4.68 (31 samples)
latency: 3, min: 1, max: 9, avg: 4.62 (32 samples)
latency: 5, min: 1, max: 9, avg: 4.64 (33 samples)
latency: 2, min: 1, max: 9, avg: 4.56 (34 samples)
latency: 3, min: 1, max: 9, avg: 4.51 (35 samples)
latency: 5, min: 1, max: 9, avg: 4.53 (36 samples)
latency: 2, min: 1, max: 9, avg: 4.46 (37 samples)
latency: 3, min: 1, max: 9, avg: 4.42 (38 samples)
latency: 5, min: 1, max: 9, avg: 4.44 (39 samples)
latency: 2, min: 1, max: 9, avg: 4.38 (40 samples)
latency: 3, min: 1, max: 9, avg: 4.34 (41 samples)
latency: 3, min: 1, max: 9, avg: 4.31 (42 samples)
latency: 3, min: 1, max: 9, avg: 4.28 (43 samples)
latency: 2, min: 1, max: 9, avg: 4.23 (44 samples)
latency: 3, min: 1, max: 9, avg: 4.20 (45 samples)
latency: 3, min: 1, max: 9, avg: 4.17 (46 samples)
latency: 3, min: 1, max: 9, avg: 4.15 (47 samples)
latency: 2, min: 1, max: 9, avg: 4.10 (48 samples)
latency: 4, min: 1, max: 9, avg: 4.10 (49 samples)
latency: 2, min: 1, max: 9, avg: 4.06 (50 samples)
