latency: 2171, min: 2171, max: 2171, avg: 2171.00 (1 samples)
 -- 2.17 seconds range
latency: 238, min: 238, max: 238, avg: 238.00 (1 samples)
latency: 22, min: 22, max: 238, avg: 130.00 (2 samples)
latency: 76, min: 22, max: 238, avg: 112.00 (3 samples)
latency: 43, min: 22, max: 238, avg: 94.75 (4 samples)
latency: 46, min: 22, max: 238, avg: 85.00 (5 samples)
latency: 44, min: 22, max: 238, avg: 78.17 (6 samples)
latency: 14, min: 14, max: 238, avg: 69.00 (7 samples)
latency: 9, min: 9, max: 238, avg: 61.50 (8 samples)
latency: 4, min: 4, max: 238, avg: 55.11 (9 samples)
latency: 5, min: 4, max: 238, avg: 50.10 (10 samples)
latency: 10, min: 4, max: 238, avg: 46.45 (11 samples)
latency: 7, min: 4, max: 238, avg: 43.17 (12 samples)
latency: 8, min: 4, max: 238, avg: 40.46 (13 samples)
latency: 10, min: 4, max: 238, avg: 38.29 (14 samples)
latency: 9, min: 4, max: 238, avg: 36.33 (15 samples)
latency: 8, min: 4, max: 238, avg: 34.56 (16 samples)
latency: 9, min: 4, max: 238, avg: 33.06 (17 samples)
latency: 7, min: 4, max: 238, avg: 31.61 (18 samples)
latency: 9, min: 4, max: 238, avg: 30.42 (19 samples)
latency: 8, min: 4, max: 238, avg: 29.30 (20 samples)
latency: 9, min: 4, max: 238, avg: 28.33 (21 samples)
latency: 7, min: 4, max: 238, avg: 27.36 (22 samples)
latency: 8, min: 4, max: 238, avg: 26.52 (23 samples)
latency: 8, min: 4, max: 238, avg: 25.75 (24 samples)
latency: 8, min: 4, max: 238, avg: 25.04 (25 samples)
latency: 8, min: 4, max: 238, avg: 24.38 (26 samples)
latency: 9, min: 4, max: 238, avg: 23.81 (27 samples)
latency: 8, min: 4, max: 238, avg: 23.25 (28 samples)
latency: 9, min: 4, max: 238, avg: 22.76 (29 samples)
latency: 8, min: 4, max: 238, avg: 22.27 (30 samples)
latency: 9, min: 4, max: 238, avg: 21.84 (31 samples)
latency: 8, min: 4, max: 238, avg: 21.41 (32 samples)
 -- 1.01 seconds range
latency: 9, min: 9, max: 9, avg: 9.00 (1 samples)
latency: 8, min: 8, max: 9, avg: 8.50 (2 samples)
latency: 9, min: 8, max: 9, avg: 8.67 (3 samples)
latency: 7, min: 7, max: 9, avg: 8.25 (4 samples)
latency: 9, min: 7, max: 9, avg: 8.40 (5 samples)
latency: 7, min: 7, max: 9, avg: 8.17 (6 samples)
latency: 10, min: 7, max: 10, avg: 8.43 (7 samples)
latency: 7, min: 7, max: 10, avg: 8.25 (8 samples)
latency: 8, min: 7, max: 10, avg: 8.22 (9 samples)
latency: 7, min: 7, max: 10, avg: 8.10 (10 samples)
latency: 9, min: 7, max: 10, avg: 8.18 (11 samples)
latency: 8, min: 7, max: 10, avg: 8.17 (12 samples)
latency: 9, min: 7, max: 10, avg: 8.23 (13 samples)
latency: 8, min: 7, max: 10, avg: 8.21 (14 samples)
latency: 9, min: 7, max: 10, avg: 8.27 (15 samples)
latency: 7, min: 7, max: 10, avg: 8.19 (16 samples)
latency: 9, min: 7, max: 10, avg: 8.24 (17 samples)
latency: 8, min: 7, max: 10, avg: 8.22 (18 samples)
latency: 9, min: 7, max: 10, avg: 8.26 (19 samples)
latency: 7, min: 7, max: 10, avg: 8.20 (20 samples)
latency: 8, min: 7, max: 10, avg: 8.19 (21 samples)
latency: 8, min: 7, max: 10, avg: 8.18 (22 samples)
latency: 9, min: 7, max: 10, avg: 8.22 (23 samples)
latency: 8, min: 7, max: 10, avg: 8.21 (24 samples)
latency: 9, min: 7, max: 10, avg: 8.24 (25 samples)
latency: 8, min: 7, max: 10, avg: 8.23 (26 samples)
latency: 9, min: 7, max: 10, avg: 8.26 (27 samples)
latency: 8, min: 7, max: 10, avg: 8.25 (28 samples)
latency: 9, min: 7, max: 10, avg: 8.28 (29 samples)
latency: 8, min: 7, max: 10, avg: 8.27 (30 samples)
latency: 9, min: 7, max: 10, avg: 8.29 (31 samples)
latency: 8, min: 7, max: 10, avg: 8.28 (32 samples)
latency: 9, min: 7, max: 10, avg: 8.30 (33 samples)
latency: 7, min: 7, max: 10, avg: 8.26 (34 samples)
