latency: 340, min: 340, max: 340, avg: 340.00 (1 samples)
latency: 138, min: 138, max: 340, avg: 239.00 (2 samples)
latency: 132, min: 132, max: 340, avg: 203.33 (3 samples)
latency: 43, min: 43, max: 340, avg: 163.25 (4 samples)
latency: 33, min: 33, max: 340, avg: 137.20 (5 samples)
latency: 16, min: 16, max: 340, avg: 117.00 (6 samples)
latency: 18, min: 16, max: 340, avg: 102.86 (7 samples)
latency: 8, min: 8, max: 340, avg: 91.00 (8 samples)
latency: 6, min: 6, max: 340, avg: 81.56 (9 samples)
latency: 13, min: 6, max: 340, avg: 74.70 (10 samples)
latency: 10, min: 6, max: 340, avg: 68.82 (11 samples)
latency: 10, min: 6, max: 340, avg: 63.92 (12 samples)
latency: 9, min: 6, max: 340, avg: 59.69 (13 samples)
latency: 8, min: 6, max: 340, avg: 56.00 (14 samples)
latency: 9, min: 6, max: 340, avg: 52.87 (15 samples)
latency: 8, min: 6, max: 340, avg: 50.06 (16 samples)
latency: 9, min: 6, max: 340, avg: 47.65 (17 samples)
latency: 8, min: 6, max: 340, avg: 45.44 (18 samples)
latency: 8, min: 6, max: 340, avg: 43.47 (19 samples)
 -- 1.01 seconds range
latency: 8, min: 8, max: 8, avg: 8.00 (1 samples)
latency: 9, min: 8, max: 9, avg: 8.50 (2 samples)
latency: 9, min: 8, max: 9, avg: 8.67 (3 samples)
latency: 9, min: 8, max: 9, avg: 8.75 (4 samples)
latency: 7, min: 7, max: 9, avg: 8.40 (5 samples)
latency: 8, min: 7, max: 9, avg: 8.33 (6 samples)
latency: 8, min: 7, max: 9, avg: 8.29 (7 samples)
latency: 9, min: 7, max: 9, avg: 8.38 (8 samples)
latency: 8, min: 7, max: 9, avg: 8.33 (9 samples)
latency: 9, min: 7, max: 9, avg: 8.40 (10 samples)
latency: 8, min: 7, max: 9, avg: 8.36 (11 samples)
latency: 9, min: 7, max: 9, avg: 8.42 (12 samples)
latency: 9, min: 7, max: 9, avg: 8.46 (13 samples)
latency: 8, min: 7, max: 9, avg: 8.43 (14 samples)
latency: 8, min: 7, max: 9, avg: 8.40 (15 samples)
latency: 9, min: 7, max: 9, avg: 8.44 (16 samples)
latency: 8, min: 7, max: 9, avg: 8.41 (17 samples)
latency: 10, min: 7, max: 10, avg: 8.50 (18 samples)
latency: 8, min: 7, max: 10, avg: 8.47 (19 samples)
latency: 8, min: 7, max: 10, avg: 8.45 (20 samples)
latency: 8, min: 7, max: 10, avg: 8.43 (21 samples)
latency: 9, min: 7, max: 10, avg: 8.45 (22 samples)
latency: 9, min: 7, max: 10, avg: 8.48 (23 samples)
latency: 8, min: 7, max: 10, avg: 8.46 (24 samples)
latency: 9, min: 7, max: 10, avg: 8.48 (25 samples)
latency: 8, min: 7, max: 10, avg: 8.46 (26 samples)
latency: 9, min: 7, max: 10, avg: 8.48 (27 samples)
latency: 9, min: 7, max: 10, avg: 8.50 (28 samples)
latency: 9, min: 7, max: 10, avg: 8.52 (29 samples)
latency: 8, min: 7, max: 10, avg: 8.50 (30 samples)
latency: 8, min: 7, max: 10, avg: 8.48 (31 samples)
latency: 9, min: 7, max: 10, avg: 8.50 (32 samples)
latency: 9, min: 7, max: 10, avg: 8.52 (33 samples)
latency: 9, min: 7, max: 10, avg: 8.53 (34 samples)
latency: 8, min: 7, max: 10, avg: 8.51 (35 samples)
latency: 9, min: 7, max: 10, avg: 8.53 (36 samples)
latency: 9, min: 7, max: 10, avg: 8.54 (37 samples)
latency: 9, min: 7, max: 10, avg: 8.55 (38 samples)
latency: 8, min: 7, max: 10, avg: 8.54 (39 samples)
latency: 8, min: 7, max: 10, avg: 8.53 (40 samples)
latency: 8, min: 7, max: 10, avg: 8.51 (41 samples)
latency: 9, min: 7, max: 10, avg: 8.52 (42 samples)
latency: 9, min: 7, max: 10, avg: 8.53 (43 samples)
latency: 9, min: 7, max: 10, avg: 8.55 (44 samples)
latency: 8, min: 7, max: 10, avg: 8.53 (45 samples)
latency: 9, min: 7, max: 10, avg: 8.54 (46 samples)
latency: 9, min: 7, max: 10, avg: 8.55 (47 samples)
latency: 9, min: 7, max: 10, avg: 8.56 (48 samples)
latency: 9, min: 7, max: 10, avg: 8.57 (49 samples)
latency: 9, min: 7, max: 10, avg: 8.58 (50 samples)
latency: 8, min: 7, max: 10, avg: 8.57 (51 samples)
latency: 9, min: 7, max: 10, avg: 8.58 (52 samples)
latency: 9, min: 7, max: 10, avg: 8.58 (53 samples)
latency: 9, min: 7, max: 10, avg: 8.59 (54 samples)
 -- 1.01 seconds range
latency: 8, min: 8, max: 8, avg: 8.00 (1 samples)
latency: 8, min: 8, max: 8, avg: 8.00 (2 samples)
latency: 9, min: 8, max: 9, avg: 8.33 (3 samples)
latency: 9, min: 8, max: 9, avg: 8.50 (4 samples)
latency: 9, min: 8, max: 9, avg: 8.60 (5 samples)
latency: 9, min: 8, max: 9, avg: 8.67 (6 samples)
latency: 9, min: 8, max: 9, avg: 8.71 (7 samples)
latency: 9, min: 8, max: 9, avg: 8.75 (8 samples)
latency: 9, min: 8, max: 9, avg: 8.78 (9 samples)
latency: 9, min: 8, max: 9, avg: 8.80 (10 samples)
latency: 8, min: 8, max: 9, avg: 8.73 (11 samples)
latency: 9, min: 8, max: 9, avg: 8.75 (12 samples)
latency: 9, min: 8, max: 9, avg: 8.77 (13 samples)
latency: 9, min: 8, max: 9, avg: 8.79 (14 samples)
latency: 9, min: 8, max: 9, avg: 8.80 (15 samples)
latency: 8, min: 8, max: 9, avg: 8.75 (16 samples)
latency: 9, min: 8, max: 9, avg: 8.76 (17 samples)
latency: 9, min: 8, max: 9, avg: 8.78 (18 samples)
latency: 9, min: 8, max: 9, avg: 8.79 (19 samples)
latency: 8, min: 8, max: 9, avg: 8.75 (20 samples)
latency: 9, min: 8, max: 9, avg: 8.76 (21 samples)
latency: 9, min: 8, max: 9, avg: 8.77 (22 samples)
latency: 8, min: 8, max: 9, avg: 8.74 (23 samples)
latency: 9, min: 8, max: 9, avg: 8.75 (24 samples)
latency: 8, min: 8, max: 9, avg: 8.72 (25 samples)
latency: 8, min: 8, max: 9, avg: 8.69 (26 samples)
