latency: 40, min: 40, max: 40, avg: 40.00 (1 samples)
latency: 41, min: 40, max: 41, avg: 40.50 (2 samples)
latency: 17, min: 17, max: 41, avg: 32.67 (3 samples)
latency: 39, min: 17, max: 41, avg: 34.25 (4 samples)
latency: 15, min: 15, max: 41, avg: 30.40 (5 samples)
latency: 40, min: 15, max: 41, avg: 32.00 (6 samples)
latency: 18, min: 15, max: 41, avg: 30.00 (7 samples)
latency: 41, min: 15, max: 41, avg: 31.38 (8 samples)
latency: 17, min: 15, max: 41, avg: 29.78 (9 samples)
latency: 40, min: 15, max: 41, avg: 30.80 (10 samples)
latency: 38, min: 15, max: 41, avg: 31.45 (11 samples)
latency: 38, min: 15, max: 41, avg: 32.00 (12 samples)
latency: 15, min: 15, max: 41, avg: 30.69 (13 samples)
latency: 36, min: 15, max: 41, avg: 31.07 (14 samples)
latency: 34, min: 15, max: 41, avg: 31.27 (15 samples)
latency: 35, min: 15, max: 41, avg: 31.50 (16 samples)
latency: 14, min: 14, max: 41, avg: 30.47 (17 samples)
latency: 34, min: 14, max: 41, avg: 30.67 (18 samples)
latency: 33, min: 14, max: 41, avg: 30.79 (19 samples)
latency: 33, min: 14, max: 41, avg: 30.90 (20 samples)
latency: 13, min: 13, max: 41, avg: 30.05 (21 samples)
latency: 33, min: 13, max: 41, avg: 30.18 (22 samples)
latency: 31, min: 13, max: 41, avg: 30.22 (23 samples)
latency: 32, min: 13, max: 41, avg: 30.29 (24 samples)
latency: 13, min: 13, max: 41, avg: 29.60 (25 samples)
latency: 32, min: 13, max: 41, avg: 29.69 (26 samples)
 -- 1.02 seconds range
latency: 30, min: 30, max: 30, avg: 30.00 (1 samples)
latency: 31, min: 30, max: 31, avg: 30.50 (2 samples)
latency: 12, min: 12, max: 31, avg: 24.33 (3 samples)
latency: 31, min: 12, max: 31, avg: 26.00 (4 samples)
latency: 29, min: 12, max: 31, avg: 26.60 (5 samples)
latency: 29, min: 12, max: 31, avg: 27.00 (6 samples)
latency: 10, min: 10, max: 31, avg: 24.57 (7 samples)
latency: 27, min: 10, max: 31, avg: 24.88 (8 samples)
latency: 26, min: 10, max: 31, avg: 25.00 (9 samples)
latency: 26, min: 10, max: 31, avg: 25.10 (10 samples)
latency: 10, min: 10, max: 31, avg: 23.73 (11 samples)
latency: 26, min: 10, max: 31, avg: 23.92 (12 samples)
latency: 24, min: 10, max: 31, avg: 23.92 (13 samples)
latency: 27, min: 10, max: 31, avg: 24.14 (14 samples)
latency: 10, min: 10, max: 31, avg: 23.20 (15 samples)
latency: 27, min: 10, max: 31, avg: 23.44 (16 samples)
latency: 26, min: 10, max: 31, avg: 23.59 (17 samples)
latency: 27, min: 10, max: 31, avg: 23.78 (18 samples)
latency: 10, min: 10, max: 31, avg: 23.05 (19 samples)
latency: 26, min: 10, max: 31, avg: 23.20 (20 samples)
latency: 25, min: 10, max: 31, avg: 23.29 (21 samples)
latency: 26, min: 10, max: 31, avg: 23.41 (22 samples)
latency: 9, min: 9, max: 31, avg: 22.78 (23 samples)
latency: 23, min: 9, max: 31, avg: 22.79 (24 samples)
latency: 22, min: 9, max: 31, avg: 22.76 (25 samples)
latency: 10, min: 9, max: 31, avg: 22.27 (26 samples)
latency: 22, min: 9, max: 31, avg: 22.26 (27 samples)
latency: 22, min: 9, max: 31, avg: 22.25 (28 samples)
latency: 22, min: 9, max: 31, avg: 22.24 (29 samples)
latency: 10, min: 9, max: 31, avg: 21.83 (30 samples)
latency: 22, min: 9, max: 31, avg: 21.84 (31 samples)
latency: 20, min: 9, max: 31, avg: 21.78 (32 samples)
 -- 1.02 seconds range
latency: 21, min: 21, max: 21, avg: 21.00 (1 samples)
latency: 9, min: 9, max: 21, avg: 15.00 (2 samples)
latency: 21, min: 9, max: 21, avg: 17.00 (3 samples)
latency: 19, min: 9, max: 21, avg: 17.50 (4 samples)
latency: 20, min: 9, max: 21, avg: 18.00 (5 samples)
latency: 9, min: 9, max: 21, avg: 16.50 (6 samples)
latency: 19, min: 9, max: 21, avg: 16.86 (7 samples)
latency: 17, min: 9, max: 21, avg: 16.88 (8 samples)
latency: 20, min: 9, max: 21, avg: 17.22 (9 samples)
latency: 9, min: 9, max: 21, avg: 16.40 (10 samples)
latency: 19, min: 9, max: 21, avg: 16.64 (11 samples)
latency: 16, min: 9, max: 21, avg: 16.58 (12 samples)
latency: 18, min: 9, max: 21, avg: 16.69 (13 samples)
latency: 8, min: 8, max: 21, avg: 16.07 (14 samples)
latency: 18, min: 8, max: 21, avg: 16.20 (15 samples)
latency: 15, min: 8, max: 21, avg: 16.12 (16 samples)
latency: 17, min: 8, max: 21, avg: 16.18 (17 samples)
latency: 8, min: 8, max: 21, avg: 15.72 (18 samples)
latency: 16, min: 8, max: 21, avg: 15.74 (19 samples)
latency: 15, min: 8, max: 21, avg: 15.70 (20 samples)
latency: 16, min: 8, max: 21, avg: 15.71 (21 samples)
latency: 8, min: 8, max: 21, avg: 15.36 (22 samples)
latency: 16, min: 8, max: 21, avg: 15.39 (23 samples)
latency: 14, min: 8, max: 21, avg: 15.33 (24 samples)
latency: 16, min: 8, max: 21, avg: 15.36 (25 samples)
latency: 7, min: 7, max: 21, avg: 15.04 (26 samples)
latency: 16, min: 7, max: 21, avg: 15.07 (27 samples)
latency: 14, min: 7, max: 21, avg: 15.04 (28 samples)
latency: 17, min: 7, max: 21, avg: 15.10 (29 samples)
latency: 8, min: 7, max: 21, avg: 14.87 (30 samples)
